Symbol,entry date,Entry Point,exit date,Exit Point,Stop Loss,Wins,Losses,Profit/loss
TECHM.NS,2021-02-19,993.9500122070312,2021-03-26,991.0,1044.846024169922,0,1,-2.95001220703125
TECHM.NS,2021-05-10,990.5,2021-06-03,1014.3499755859375,1044.846024169922,1,1,20.89996337890625
TECHM.NS,2021-10-25,1524.0999755859375,2021-10-26,1563.300048828125,1044.846024169922,2,1,60.10003662109375
TECHM.NS,2022-02-01,1505.75,2022-03-30,1496.300048828125,1044.846024169922,2,2,50.65008544921875
TECHM.NS,2022-04-22,1306.5,2022-08-12,1065.9000244140625,1044.846024169922,2,3,-189.94989013671875
TECHM.NS,2022-10-06,1031.300048828125,2022-11-15,1066.949951171875,1044.846024169922,3,3,-154.29998779296875
TECHM.NS,2022-12-26,1001.0,2023-02-10,1017.3499755859375,1044.846024169922,4,3,-137.95001220703125
INFY.NS,2021-02-25,1274.550048828125,2021-03-15,1373.5999755859375,1259.428524169922,1,0,99.0499267578125
INFY.NS,2021-05-12,1327.0,2021-06-09,1415.300048828125,1259.428524169922,2,0,187.3499755859375
INFY.NS,2022-02-08,1717.300048828125,2022-03-22,1887.4000244140625,1259.428524169922,3,0,357.449951171875
INFY.NS,2022-04-25,1561.0999755859375,2022-07-20,1515.300048828125,1259.428524169922,3,1,311.6500244140625
INFY.NS,2022-09-14,1475.4000244140625,2022-10-31,1537.6500244140625,1259.428524169922,4,1,373.9000244140625
INFY.NS,2022-12-29,1517.550048828125,2023-02-09,1617.0,1259.428524169922,5,1,473.3499755859375
NTPC.NS,2020-07-15,88.05000305175781,2020-08-26,102.80000305175781,172.80450302124024,1,0,14.75
NTPC.NS,2020-09-25,84.80000305175781,2020-11-13,91.44999694824219,172.80450302124024,2,0,21.399993896484375
NTPC.NS,2021-01-29,88.94999694824219,2021-02-25,108.0,172.80450302124024,3,0,40.44999694824219
NTPC.NS,2021-04-20,99.05000305175781,2021-05-20,111.75,172.80450302124024,4,0,53.149993896484375
NTPC.NS,2021-08-17,117.4000015258789,2021-09-23,126.19999694824219,172.80450302124024,5,0,61.949989318847656
NTPC.NS,2021-11-25,135.1999969482422,2022-01-19,134.8000030517578,172.80450302124024,5,1,61.54999542236328
NTPC.NS,2022-03-07,130.0500030517578,2022-04-05,149.10000610351562,172.80450302124024,6,1,80.5999984741211
NTPC.NS,2022-06-07,157.25,2022-08-01,156.5,172.80450302124024,6,2,79.8499984741211
NTPC.NS,2022-10-20,166.9499969482422,2022-10-28,174.0500030517578,172.80450302124024,7,2,86.95000457763672
NTPC.NS,2022-12-26,165.64999389648438,2023-02-23,169.60000610351562,172.80450302124024,8,2,90.90001678466797
TATASTEEL.NS,2020-09-29,37.005001068115234,2020-11-05,42.54999923706055,108.25649848937988,1,0,5.5449981689453125
TATASTEEL.NS,2021-09-28,128.09500122070312,2022-01-20,120.66999816894531,108.25649848937988,1,1,-1.8800048828125
TATASTEEL.NS,2022-05-10,116.48999786376953,2022-08-04,107.69999694824219,108.25649848937988,1,2,-10.670005798339844
TATASTEEL.NS,2022-09-29,96.8499984741211,2022-11-16,106.55000305175781,108.25649848937988,2,2,-0.970001220703125
WIPRO.NS,2021-03-10,426.70001220703125,2021-04-20,470.1000061035156,385.75349395751954,1,0,43.399993896484375
WIPRO.NS,2021-11-17,661.7999877929688,2021-12-29,703.7000122070312,385.75349395751954,2,0,85.30001831054688
WIPRO.NS,2022-01-28,552.1500244140625,2022-03-28,600.2000122070312,385.75349395751954,3,0,133.35000610351562
WIPRO.NS,2022-04-25,529.3499755859375,2022-08-18,435.04998779296875,385.75349395751954,3,1,39.050018310546875
WIPRO.NS,2022-09-13,422.6499938964844,2022-11-29,405.1499938964844,385.75349395751954,3,2,21.550018310546875
WIPRO.NS,2023-01-02,393.04998779296875,2023-01-30,402.25,385.75349395751954,4,2,30.750030517578125
