Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-11-08,SBIN,EQ,530.45,534.45,534.45,516.45,523.6,523.25,524.29,36802110,1929492306355000.0,434185,13809608,0.37520000000000003
2021-11-09,SBIN,EQ,523.25,526.25,532.0,522.2,529.0,529.15,528.31,25451967,1344660328585000.0,263483,10868864,0.42700000000000005
